Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT,2,C_Small,
"C10, C15, C20",C_Disc_D3.0mm_W1.6mm_P6.35mm,3,47p,
"C11, C25, C27, C29, C30, C31, C46, C47",C_Disc_D3.0mm_W1.6mm_P6.35mm,8,C_Small,
"C12, C17, C24, C34, C35, C36, C37, C4, C41, C43, C45, C5, C7",C_Disc_D5.0mm_W2.5mm_P5.00mm,13,C_Small,
C13,CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,1,4.7uF/16V,
C14,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100n,
C16,C_Rect_L4.0mm_W2.5mm_P2.50mm,1,C_Small,
"C21, C28",C_Disc_D3.0mm_W1.6mm_P6.35mm,2,220p,
C22,C_Disc_D3.0mm_W1.6mm_P8.89mm,1,C_Mini,
"C23, C26, C33",C_Disc_D3.0mm_W1.6mm_P7.62mm,3,C_Small,
"C3, C8",C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,2,820p,
C32,C_Disc_D3.0mm_W1.6mm_P6.35mm,1,C_Mini,
"C38, C39, C6",C_Disc_D3.0mm_W1.6mm_P3.81mm,3,C_Small,
C40,CP_Axial_L37.0mm_D16.0mm_P43.00mm_Horizontal,1,CP_Small,
C44,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,C_Mini,
C52,C_Disc_D7.0mm_W2.5mm_P5.00mm,1,C_Small,
C9,C_Disc_D3.0mm_W1.6mm_P7.62mm,1,15p,
"CI1, CI2",DIP-14_W7.62mm_LongPads,2,74LS121,
CI3,DIP-14_W7.62mm_LongPads,1,4066,
CI4,DIP-40_W15.24mm_LongPads,1,TIA,
CI5,DIP-28_W15.24mm_LongPads,1,6507,
CI6,DIP-16_W7.62mm_LongPads,1,CD4050,
CI7,DIP-14_W7.62mm_LongPads,1,74LS04_SMALL,
CI8,DIP-40_W15.24mm_LongPads,1,RIOT,
CI9,DIP-14_W7.62mm_LongPads,1,LM3086,
CN1,Atari2600_PCB_Edge_Connector_2x12_P2.54mm_5.08mm,1,Conn_02x12_Counter_Clockwise,
"D1, D2",D_T-1_P12.70mm_Horizontal,2,D_ALT,
"D3, D4, D5",D_T-1_P10.16mm_Horizontal,3,D_ALT,
"J10, J3",Pin_2mm_Furo_1mm,2,6,
"J11, J4",Pin_2mm_Furo_1mm,2,5,
"J13, J6",Pin_2mm_Furo_1mm,2,7,
"J14, J7",Pin_2mm_Furo_1mm,2,2,
"J15, J8",Pin_2mm_Furo_1mm,2,3,
"J16, J9",Pin_2mm_Furo_1mm,2,4,
J17,Via Oval,1,+5V,
J18,Via Oval,1,GND,
J19,Via Oval,1,PB/C,
J20,Via Oval,1,PAF,
J21,Via Oval,1,SEL.,
J22,Pad_3mm_furo_1mm,1,+5V,
"J23, J25, J26",Pad_3mm_furo_1mm,3,GND,
J24,Pad_3mm_furo_1mm,1,L4_3,
"J27, J28, J29, J30, J31, J32, J33, J34",Pad_3mm_furo_1mm,8,~,
L1,Indutor_Variavel_10.16mm,1,LTRIM,
L2,L_Axial_L12.8mm_D5.8mm_P24.13mm_Horizontal,1,L_Small,
L3,L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1,1,L,
"R1, R2, R25, R26, R29, R3, R32, R33, R36, R37, R38, R4, R5, R6, R61, R7, R8",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,17,R,
"R10, R12, R14, R9",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,4,3k3,
R11,R_Axial_DIN0309_L9.0mm_D3.2mm_P11.43mm_Horizontal,1,R,
"R13, R24, R28",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,3,1k,
R16,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,18k,
"R17, R21, R34, R39",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,4,10k,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,9k1,
R20,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,24k,
R22,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,12k,
R23,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,47k,
R27,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,680R,
R35,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R,
R40,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k5,
R41,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
R42,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100R,
R43,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330R,
R44,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k7,
RV1,Potentiometer_Bourns_3006P_Horizontal,1,R_POT_TRIM,
RV2,Trimpot_14mm_Vertical,1,R_POT_TRIM,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,CHAVE CANAL,
T1,TO-92_Wide,1,NPN,
T2,TO-92_Invert_Wide,1,MPS3563,
T3,TO-92_Inline_Wide,1,MPS3906,
"TP1, TP2",Pad_3mm_furo_1mm,2,TestPoint,
U1,TO-220-3_Vertical,1,L7805,
Y1,Crystal_HC49-U_Vertical,1,Crystal_Small,
